Kommun,Kod,Län,coatOfArms
Upplands Väsby,0114,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/0/04/Upplands_V%C3%A4sby_vapen.svg
Vallentuna,0115,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/d/d7/Vallentuna_vapen.svg
Österåker,0117,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/c/c8/%C3%96ster%C3%A5ker_vapen.svg
Värmdö,0120,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/8/89/V%C3%A4rmd%C3%B6_vapen.svg
Järfälla,0123,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/4/46/J%C3%A4rf%C3%A4lla_vapen.svg
Ekerö,0125,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/f/ff/Eker%C3%B6_vapen.svg
Huddinge,0126,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/c/c2/Huddinge_vapen.svg
Botkyrka,0127,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/4/40/Botkyrka_vapen.svg
Salem,0128,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/a/a6/Salem_Baden_Wappen.svg
Haninge,0136,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/d/df/Haninge_vapen.svg
Tyresö,0138,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/e/e9/Tyres%C3%B6_kommunvapen_-_Riksarkivet_Sverige.png
Upplands-Bro,0139,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/1/1d/Upplands-Bro_City_Arms.svg
Nykvarn,0140,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/0/05/Nykvarn_vapen.svg
Täby,0160,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/c/c7/T%C3%A4by_municipal_arms.svg
Danderyd,0162,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/a/a8/Danderyd_vapen.svg
Sollentuna,0163,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/b/ba/Sollentuna_vapen.svg
Stockholm,0180,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/4/4d/Stockholm_vapen_bra.svg
Södertälje,0181,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/0/06/S%C3%B6dert%C3%A4lje_vapen.svg
Nacka,0182,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/0/08/Nacka_vapen.svg
Sundbyberg,0183,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/1/1a/Sundbyberg_kommunvapen_-_Riksarkivet_Sverige.png
Solna,0184,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/d/d9/Solna_vapen.svg
Lidingö,0186,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/3/34/Liding%C3%B6_vapen.svg
Vaxholm,0187,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/3/3b/Vaxholm_vapen.svg
Norrtälje,0188,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/1/19/Norrt%C3%A4ljes_vapen.svg
Sigtuna,0191,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/5/55/Sigtuna_vapen.svg
Nynäshamn,0192,Stockholms län,https://upload.wikimedia.org/wikipedia/commons/e/e7/Nyn%C3%A4shamn_vapen.svg
Håbo,0305,Uppsala län,https://upload.wikimedia.org/wikipedia/commons/d/d1/H%C3%A5bo_vapen.svg
Älvkarleby,0319,Uppsala län,https://upload.wikimedia.org/wikipedia/commons/b/b0/%C3%84lvkarleby_vapen.svg
Knivsta,0330,Uppsala län,https://upload.wikimedia.org/wikipedia/commons/4/44/Knivsta_vapen.svg
Heby,0331,Uppsala län,https://upload.wikimedia.org/wikipedia/commons/f/f1/Heby_vapen.svg
Tierp,0360,Uppsala län,https://upload.wikimedia.org/wikipedia/commons/d/db/Tierp_vapen.svg
Uppsala,0380,Uppsala län,https://upload.wikimedia.org/wikipedia/commons/d/dc/Uppsala_vapen.svg
Enköping,0381,Uppsala län,https://upload.wikimedia.org/wikipedia/commons/3/33/Enk%C3%B6ping_vapen.svg
Östhammar,0382,Uppsala län,https://upload.wikimedia.org/wikipedia/commons/1/12/%C3%96sthammar_vapen.svg
Vingåker,0428,Södermanlands län,https://upload.wikimedia.org/wikipedia/commons/d/de/Ving%C3%A5ker_vapen.svg
Gnesta,0461,Södermanlands län,https://upload.wikimedia.org/wikipedia/commons/6/62/Gnesta_vapen.svg
